Center,Center Search Status,Facility,FacilityURL,Occupied,Status,URL Link,Record Date,Last Update,Country,Contact,Phone,Location,City,State,Zipcode
Glenn Research Center,Public,"9 X 15 Low Speed Wind Tunnel, Bldg. 39",,01/01/1969 12:00:00 AM,Active,http://facilities.grc.nasa.gov/9x15/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,"EM Materials Combustion Research Facility, Bldg 46",,,Active,,08/09/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Public,Measurement Standards & Calibration Lab #8100,,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Langley Research Center,Public,Aircraft Landing Dynamics Facility/B1262,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,Public,"500 WSC: Antenna, 10m S-band",,01/01/1977 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Glenn Research Center,Public,Vacuum Facility 12 (VF-12) Bldg. 301,,,Active,http://facilities.grc.nasa.gov/epl/index.html,07/15/2010 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Stennis Space Center,Public,"Repair, Fab. & Fluid Component Proc. #2201,2205,5A",,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,Public,ED Pump Test Equipment Facility 4777,,01/01/1995 12:00:00 AM,Active,,05/30/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EL Ground Control Experiment Laboratory 4708,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,Emergency Landing Sites (ELS) High Inclination ,,01/01/1980 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Michoud Assembly Facility,Public,Machine Shop Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/02/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Kennedy Space Center,Public,RPSF Support Building/K6-0495 ,,01/01/1984 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,ES Low Energy Ion Facility 4481 ,,01/01/1974 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EH Spray-On Foam Insulation (SOFI) Lab 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Nozzle Test Chamber,,01/01/1952 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Kennedy Space Center,Public,Intermediate Bay/M7-360/SSPF ,,01/01/1995 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Radiation Physics Computer Laboratory,,01/01/1965 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Kennedy Space Center,Public,Thermal Protection System (TPS)/K6-0794 ,,01/01/1988 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Glenn Research Center,Public,Vacuum Facility 16 (VF-16) Bldg. 16,,,Active,http://facilities.grc.nasa.gov/epl/index.html,07/15/2010 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,Turn Basin/K7-1005 ,,01/01/1963 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Diode Characterization & Test Lab (B-1202),,,Active,,12/06/2005 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
NASA Aircraft Management Division,Public,DFRC F-15B/D Research Aircraft,,,Active,http://www.nasa.gov/centers/dryden/aircraft/F-15B/index.html,11/04/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Jet Propulsion Lab,Public,DSS 15 Antenna,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,EM Space Environmental Effects Facility 4605,,01/01/1970 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,Composites Development Facility 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,"Statics Test Laboratory, Bldg. 5 (ERB Complex)",,01/01/1942 12:00:00 AM,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/erb/ind,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Ames Research Center,Public,N234A - THERMAL PROTECTION LAB BOILER: STEAM VACUUM SYSTEM (PAPAC),,01/01/1962 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/12/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Kennedy Space Center,Public,SRB Recovery Facility/66250/HGR-AF ,,01/01/1963 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Ames Research Center,Public,N204A - SPACE TECHNOLOGY BUILDING: AMES VERTICAL GUN RANGE (PAPAC),,01/01/1966 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/12/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Jet Propulsion Lab,Public,DSS 45 Antenna,,01/01/1963 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Glenn Research Center,Public,Vacuum Facility 7 (VF-7) Bldg. 16,,,Active,http://facilities.grc.nasa.gov/epl/index.html,07/15/2010 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,Airlock/1726/HGR-S,,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Hypersonic Propulsion Facility,,01/01/1946 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Stennis Space Center,Public,Push Boat,,01/01/1965 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,Public,Orbiter Processing Fac.(OPF) Low Bay Area/K6-894,,01/01/1977 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Ames Research Center,Public,N238 - ARC JET LABORATORY: INTERACTION HEATING FACILITY (PAPAC),,01/01/1975 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/13/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
NASA Aircraft Management Division,Public,DFRC B-200 Super Kingair Research/Support Aircraft,,,Active,http://www.nasa.gov/centers/dryden/aircraft/KingAir/index.html,11/04/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Marshall Space Flight Center,Public,EH High Pres. Ignit. Promoted Combust.Test System,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,Turbomachinery Technology Facilities (ERB Complex),,01/01/1942 12:00:00 AM,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/erb/ind,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Wallops Flight Facility/GSFC,Public,Wallops Orbital Tracking Station,,01/01/1960 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Kennedy Space Center,Public,Mobile Launcher Platform 1 ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EM-20 Automated Ultrasonics Laboratory 4702,,,Active,,08/11/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Structural Dynamics Research Lab,,01/01/1963 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EI MSFC Electromagnetic Interference (EMI) Test Fa,,01/01/1995 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Wallops Flight Facility/GSFC,Public,Meteorological Facilities and ASRF,,01/01/1959 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Goddard Space Flight Center,Public,700: Environmental Test Engineering & Integration,,01/01/1962 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Kennedy Space Center,Public,Emergency Landing Sites (ELS) Low Inclination ,,01/01/1980 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Vibration Laboratory,,,Active,http://engineering.larc.nasa.gov/vibration_lab.html,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Public,Electro Magnetic Interference (EMI) Lab,,01/01/1942 12:00:00 AM,Active,http://facilities.grc.nasa.gov/emi/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Ames Research Center,Public,DYNAVAC THERMAL VACUUM CHAMBER,,01/01/2010 12:00:00 AM,Active,http://www.nasa.gov/centers/ames/research/technology-onepagers/eng_eval_lab.html,10/29/2014 12:00:00 AM,10/29/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Marshall Space Flight Center,Public,EH Frictional Heating Test System 4623,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,Aeropropulsion Heat Transfer Technology Facilities,,01/01/1942 12:00:00 AM,Active,http://facilities.grc.nasa.gov/erb/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,"EM Mechanical Materials Test Facility, Bldg 4612",,,Active,,08/08/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,V20 Thermal Vacuum Chamber - 4619,,,Active,,07/18/2010 12:00:00 AM,02/20/2015 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,16-Meter Thermal Vacuum Chamber,,01/01/1963 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/02/2012 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Langley Research Center,Public,Automated Structures Assembly Lab,,01/01/1945 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
NASA Aircraft Management Division,Public,LaRC B-200 Super King Air Research Aircraft,,,Active,,11/04/2009 12:00:00 AM,07/22/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Public,Processing Control Center/K6-1094 ,,01/01/1992 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Investment Casting Development Lab/B1237A,,,Active,,06/15/2006 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Public,Thermal/Vacuum Chamber,,,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/spf/index.html,03/05/2015 12:00:00 AM,,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,"EM-20 Penetrant, Optical and Magnetic Particle Lab",,,Active,,08/11/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Goddard Space Flight Center,Public,"500 WSC: Antenna, 19m S/Ku-band",,01/01/1977 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,Public,EV Flight Simulation Lab 4476 ,,01/01/1963 12:00:00 AM,Inactive,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Michoud Assembly Facility,Public,Friction Stir Welding Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/09/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,Public,EH Metallurgical Diagnostics Laboratory 4612,,01/01/1961 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EH Non-Optical NDE Facility 4702,,,Active,,05/28/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
NASA Aircraft Management Division,Public,ARC Scientific Instrumentation Evaluation Remote Research Aircraft (SIERRA),,,Active,,11/04/2009 12:00:00 AM,07/22/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Marshall Space Flight Center,Public,EP Test Facility (TF500) 4522 ,,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EI Space Systems Integration and Test Facility 4,,01/01/1992 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,RPSF Contractor Support Building/K6-0445 ,,01/01/1984 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,Public,WFF C-23 Sherpa Airborne Research Aircraft,,,Active,http://airbornescience.nasa.gov/aircraft/C-23_Sherpa,02/13/2013 12:00:00 AM,,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Public,Mobile Launcher Platform 2 ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EB Radio Frequency Development Lab 4189,,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,"Corrosion Test Site, K8-0237",,01/01/2000 12:00:00 AM,Active,,05/11/1998 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EM-20 Acoustic Emission Facility 4711,,01/01/1992 12:00:00 AM,Active,,08/04/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Public,Electrical Distribution System #0010,,01/01/1964 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Jet Propulsion Lab,Public,Space Flight Operations Facility,,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Langley Research Center,Public,National Transonic Facility,,01/01/1982 12:00:00 AM,Active,http://www.aeronautics.nasa.gov/atp/index.html,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Public,Complex of Thirteen Space Test Chambers (Bldg.16),,01/01/1942 12:00:00 AM,Active,http://facilities.grc.nasa.gov/eprb/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,"EM Environmental Gas/Toxic Offgassing Lab, Bldg 46",,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EV Battery Test Laboratory 4475 ,,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EB Electrical Power Systems Test Fac 4475,,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,Combustion and Aerochemistry Technology Facilities,,01/01/1942 12:00:00 AM,Active,http://facilities.grc.nasa.gov/erb/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,Public,"8 x 6 Supersonic Wind Tunnel, Bldgs. 39, 53 & 54",,01/01/1948 12:00:00 AM,Active,http://facilities.grc.nasa.gov/8x6/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Stennis Space Center,Public,Propellant Transfer & Storage Facility #3414,,01/01/1965 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,Public,Small Multi-Purpose Research Facility,,,Active,http://facilities.grc.nasa.gov/smirf/capabilities.html,03/05/2015 12:00:00 AM,06/15/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,ET Component/System Quasi-Static Load Fac 4619,,01/01/1959 12:00:00 AM,Active,,04/25/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Johnson Space Center,Public,"Chamber A, EC, B-32 ",,01/01/1964 12:00:00 AM,Under Rehabilitation,http://ctsdtests.jsc.nasa.gov/A.html,03/01/1996 12:00:00 AM,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Glenn Research Center,Public,"Zero Gravity Research Facility, (Bldg. 110)",,01/01/1993 12:00:00 AM,Active,http://microgravity.grc.nasa.gov/zero-g/,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,Public,Electric Power Lab - Vacuum Facility 6 (VF-6),,01/01/1961 12:00:00 AM,Active,http://facilities.grc.nasa.gov/epl/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,RPSF Surge Building #2/K6-0345 ,,01/01/1984 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Intelligent Sys Res Lab/Hydrau Manipulator Testbed,,01/01/1945 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EP Mechanisms Development Facility 4656 ,,01/01/1965 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Materials Processing and Development Lab,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/19/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,"EM Tribology Test Laboratory, Building 4711",,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Johnson Space Center,Public,"Chamber B, EC, B-32 ",,01/01/1964 12:00:00 AM,Active,http://www.nasa.gov/centers/johnson/engineering/test_facilities/human_space_testing/detChamberB.html,03/01/1996 12:00:00 AM,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Langley Research Center,Public,Intravehicular Automation and Robotics Lab,,01/01/1945 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Kennedy Space Center,Public,Central Instrumentation Facility (CIF)/M6-342 ,,01/01/1965 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Public,Lidar Facility,,01/01/1973 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
